y_pred,y_score,y_true,snr,correct
0,-0.002705725,0,0.0,True
1,-1.1920928e-07,1,29.37368,True
1,-1.1920928e-07,1,28.873734,True
1,-3.3378547e-06,1,23.783968,True
0,-0.0015468549,0,0.0,True
0,-0.0010632583,0,0.0,True
1,-0.028083658,1,22.682882,True
0,-0.011605724,0,0.0,True
1,0.0,1,22.548311,True
0,-0.0028085571,0,,True
0,-0.0054139895,0,0.0,True
0,-0.0047628526,0,0.0,True
1,0.0,1,34.522083,True
1,0.0,1,40.136192,True
1,-0.27777293,1,20.05113,True
0,-0.02673996,0,0.0,True
0,-0.07904518,1,24.093142,False
1,-7.152555e-07,1,25.044542,True
0,-0.007977174,0,0.0,True
0,-0.15884599,0,0.0,True
0,-0.002698354,0,0.0,True
1,0.0,1,44.541603,True
0,-0.22207487,0,0.0,True
0,-0.0050805276,0,0.0,True
0,-0.007683959,0,0.0,True
1,-3.576278e-07,1,34.578575,True
1,-0.00010585225,1,22.108152,True
0,-0.020091241,0,0.0,True
0,-0.12347708,0,0.0,True
0,-0.02408752,0,0.0,True
0,-0.0011039836,0,0.0,True
0,-0.0017238294,0,0.0,True
0,-0.0011719747,0,0.0,True
0,-0.02478923,0,0.0,True
1,-1.3112935e-05,1,23.621964,True
0,-0.0036798874,0,0.0,True
1,-2.384183e-06,1,25.495895,True
0,-0.0031578694,0,0.0,True
0,-0.00043406602,0,0.0,True
1,0.0,1,33.024414,True
0,-0.0035034963,0,0.0,True
1,0.0,1,46.065857,True
0,-0.037857667,0,0.0,True
0,-0.006274761,0,0.0,True
1,-0.23374929,1,20.54728,True
0,-0.010144578,0,0.0,True
0,-0.014710767,0,0.0,True
0,-0.0006201728,0,0.0,True
0,-0.003320658,0,0.0,True
0,-0.006179038,0,0.0,True
1,0.0,1,25.234962,True
0,-0.045808624,1,20.49634,False
0,-0.024789697,0,0.0,True
0,-0.015051602,0,0.0,True
1,-2.145765e-06,1,55.37434,True
1,-0.03129437,1,20.575224,True
0,-0.004433683,0,0.0,True
1,0.0,1,28.879885,True
0,-0.0072239153,0,0.0,True
1,-1.1920928e-07,1,30.16532,True
0,-0.0011286325,0,0.0,True
0,-0.013027084,0,0.0,True
1,0.0,1,44.5069,True
1,0.0,1,63.221764,True
1,0.0,1,29.114187,True
0,-0.00052617054,0,0.0,True
0,-0.0057678455,0,0.0,True
1,-7.3549425e-05,1,20.708761,True
1,-0.00045253526,1,21.835726,True
0,-0.0036174117,0,0.0,True
0,-0.09376329,0,0.0,True
0,-0.0018051058,0,0.0,True
0,-0.039514758,0,0.0,True
0,-0.0068931873,0,0.0,True
1,0.0,1,32.303806,True
0,-0.004635422,0,0.0,True
1,-2.4079987e-05,1,31.324234,True
1,0.0,1,21.011854,True
1,-5.960463e-07,1,25.257,True
1,0.0,1,30.37368,True
1,0.0,1,95.74545,True
0,-0.009885994,0,0.0,True
0,-0.003088825,0,0.0,True
0,-0.074603036,0,0.0,True
0,-0.0034091708,0,0.0,True
1,0.0,1,36.142776,True
1,-2.3841855e-07,1,22.912193,True
1,0.0,1,29.168016,True
1,0.0,1,64.16494,True
0,-0.021183431,0,,True
1,0.0,1,54.333225,True
0,-0.22709501,1,23.52345,False
0,-0.00250538,0,0.0,True
0,-0.0011526853,0,0.0,True
1,-8.344647e-07,1,31.493025,True
0,-0.0018037969,0,0.0,True
1,-0.0011732845,1,23.137234,True
1,0.0,1,37.884468,True
0,-0.000100011595,0,0.0,True
0,-0.41406843,0,0.0,True
0,-0.007989473,0,0.0,True
1,-1.7523613e-05,1,24.02634,True
0,-0.5254526,1,22.30281,False
1,0.0,1,29.561075,True
1,-0.000488877,1,22.53687,True
0,-0.06392315,0,0.0,True
1,0.0,1,30.942734,True
0,-0.029113434,0,0.0,True
0,-0.002657218,0,0.0,True
1,-6.3180723e-06,1,24.999306,True
1,0.0,1,37.91096,True
1,-5.817244e-05,1,46.31909,True
1,0.0,1,30.323795,True
1,-5.233151e-05,1,23.147915,True
1,0.0,1,87.99362,True
1,-0.0050112596,1,20.926867,True
1,-1.2993728e-05,1,22.770115,True
1,-2.264974e-06,1,28.601105,True
0,-0.023737762,0,0.0,True
0,-0.014640988,0,0.0,True
0,-0.004747429,0,0.74912775,True
1,0.0,1,31.267056,True
1,-4.7683704e-07,1,38.704975,True
1,0.0,1,32.464943,True
1,0.0,1,44.727386,True
0,-0.0024077492,0,0.0,True
0,-0.004046705,0,0.0,True
1,0.0,1,38.55112,True
1,0.0,1,44.276646,True
1,0.0,1,96.73993,True
0,-0.005806128,0,0.0,True
1,0.0,1,38.63167,True
1,0.0,1,52.815193,True
0,-0.031022588,0,0.0,True
